,acc,loss,val_acc,val_loss
0,0.097,2.307,0.135,12.467
1,0.116,2.298,0.116,13.66
2,0.122,2.293,0.136,13.247
3,0.134,2.286,0.146,13.27
4,0.149,2.275,0.147,13.443
5,0.141,2.282,0.141,13.067
6,0.161,2.261,0.139,13.46
7,0.169,2.248,0.153,13.108
8,0.163,2.247,0.159,13.232
9,0.166,2.245,0.175,12.94
10,0.175,2.237,0.167,13.128
11,0.177,2.233,0.148,13.52
12,0.173,2.239,0.158,13.239
13,0.207,2.202,0.146,13.627
14,0.211,2.179,0.143,13.59
15,0.201,2.197,0.174,13.083
16,0.209,2.208,0.162,13.353
17,0.209,2.205,0.172,13.051
18,0.205,2.194,0.185,12.877
19,0.224,2.166,0.188,12.835
20,0.242,2.127,0.196,12.712
21,0.233,2.154,0.209,12.442
22,0.227,2.157,0.265,11.371
23,0.228,2.16,0.215,12.296
24,0.243,2.113,0.21,12.47
25,0.243,2.117,0.232,12.1
26,0.243,2.115,0.189,12.869
27,0.251,2.118,0.231,12.154
28,0.267,2.108,0.249,11.781
29,0.254,2.073,0.247,11.832
30,0.256,2.075,0.194,12.726
31,0.252,2.109,0.269,11.471
32,0.284,2.037,0.218,12.344
33,0.259,2.098,0.301,10.926
34,0.257,2.075,0.226,12.241
35,0.277,2.035,0.279,11.353
36,0.284,2.04,0.25,11.782
37,0.28,2.056,0.228,12.135
38,0.276,2.028,0.259,11.627
39,0.271,2.057,0.24,12.05
40,0.287,2.034,0.257,11.689
41,0.277,2.043,0.298,11.042
42,0.295,2.013,0.304,10.745
43,0.293,2.002,0.269,11.549
44,0.288,2.015,0.27,11.537
45,0.295,1.992,0.301,11.085
46,0.297,1.984,0.31,10.855
47,0.28,2.003,0.28,11.333
48,0.304,1.963,0.292,11.162
49,0.297,1.968,0.331,10.49
50,0.284,2.007,0.325,10.627
51,0.281,2.025,0.267,11.677
52,0.298,1.976,0.307,10.892
53,0.289,1.989,0.265,11.7
54,0.296,1.983,0.305,10.933
55,0.282,2.017,0.292,11.237
56,0.316,1.934,0.316,10.797
57,0.324,1.928,0.297,11.145
58,0.316,1.954,0.283,11.265
59,0.331,1.902,0.296,11.164
60,0.317,1.948,0.326,10.695
61,0.339,1.874,0.301,11.063
62,0.31,1.962,0.319,10.827
63,0.329,1.909,0.306,10.995
64,0.306,1.934,0.309,11.027
65,0.349,1.827,0.334,10.534
66,0.329,1.906,0.329,10.631
67,0.334,1.892,0.334,10.478
68,0.315,1.939,0.349,10.288
69,0.322,1.922,0.351,10.302
70,0.364,1.813,0.343,10.515
71,0.347,1.866,0.319,10.752
72,0.343,1.867,0.347,10.341
73,0.338,1.859,0.33,10.668
74,0.328,1.864,0.341,10.477
75,0.352,1.831,0.336,10.551
76,0.357,1.84,0.318,10.728
77,0.327,1.88,0.314,10.794
78,0.36,1.813,0.367,10.009
79,0.334,1.864,0.365,10.084
80,0.337,1.866,0.312,10.887
81,0.336,1.861,0.358,10.208
82,0.336,1.859,0.34,10.572
83,0.38,1.765,0.334,10.619
84,0.36,1.797,0.359,10.081
85,0.368,1.781,0.34,10.497
86,0.356,1.823,0.343,10.326
87,0.366,1.787,0.366,10.097
88,0.369,1.791,0.359,10.205
89,0.376,1.771,0.375,9.887
90,0.37,1.794,0.362,10.148
91,0.393,1.717,0.355,10.283
92,0.389,1.727,0.36,10.093
93,0.375,1.748,0.372,9.996
94,0.382,1.739,0.392,9.574
95,0.407,1.709,0.337,10.471
96,0.362,1.795,0.388,9.706
97,0.377,1.759,0.34,10.444
98,0.381,1.745,0.389,9.636
99,0.401,1.704,0.372,9.945
100,0.372,1.765,0.376,9.822
101,0.388,1.712,0.356,10.168
102,0.389,1.734,0.37,10.023
103,0.392,1.724,0.376,9.805
104,0.372,1.752,0.369,10.027
105,0.408,1.677,0.364,9.997
106,0.404,1.7,0.378,9.923
107,0.397,1.719,0.367,10.062
108,0.38,1.754,0.368,9.993
109,0.378,1.734,0.378,9.854
110,0.401,1.698,0.381,9.701
111,0.405,1.669,0.353,10.251
112,0.412,1.686,0.364,10.136
113,0.389,1.711,0.362,10.141
114,0.379,1.762,0.422,9.179
115,0.408,1.662,0.401,9.525
116,0.404,1.644,0.349,10.385
117,0.417,1.662,0.384,9.781
118,0.434,1.611,0.401,9.475
119,0.421,1.626,0.381,9.869
